,bank,card,act
114,"{'中國信託': 1, '玉山': 4, '台新': 3, '永豐': 1, '兆豐': 1, '國泰': 4, '國泰世華': 1}",{},"{'出國': 1, '國外': 1, '旅遊': 2}"
115,{},{},{}
116,{},{},"{'旅遊': 5, '機票': 1, '出國': 1}"
117,{},{},{'保費': 1}
118,"{'中國信託': 4, '國泰世華': 9, '玉山': 10, '永豐': 7, '台新': 2, '兆豐': 2}",{},"{'加油': 23, '中油': 4}"
119,"{'中國信託': 1, '國泰世華': 1, '玉山': 1, '台新': 1, '國泰': 1, '永豐': 1, '兆豐': 1}",{},"{'機場': 52, '出國': 5, '國外': 27, '旅遊': 3, '機票': 62}"
120,"{'玉山': 6, '永豐': 3, '台新': 7, '中信': 1, '國泰世華': 3, '兆豐': 2, 'Richart': 2, 'KOKO': 1}","{'gogo': 2, 'Pi': 1}","{'海外': 15, '旅遊': 2, '國外': 9, '出國': 4, '機票': 2, '保費': 1, '加油': 1, '威秀': 2}"
121,"{'國泰世華': 4, '永豐': 4, '中國信託': 3, '台新': 4, '玉山': 3}",{'LINEPAY': 1},"{'出國': 1, '旅遊': 1, '飯店': 2}"
122,"{'中國信託': 1, '國泰世華': 2, 'KOKO': 2, '玉山': 3, '台新': 5}",{'LINEPAY': 1},"{'電影': 6, '威秀': 6, '國賓': 15}"
123,{'國泰世華': 7},{},"{'國外': 1, '海外': 3, '旅遊': 1, '機場': 1, '電影': 2}"
124,"{'國泰世華': 12, '台新': 1, 'KOKO': 1}",{},{}
125,{'國泰': 6},{},"{'加油': 1, '保險': 9}"
126,{},{},{}
127,{},{},"{'旅遊': 1, '國外': 1, '出國': 1}"
128,"{'國泰世華': 2, '兆豐': 4, '永豐': 1, '玉山': 1, '台新': 3, '中國信託': 1, '中信': 1}",{},{'機票': 4}
129,"{'台新': 8, '國泰世華': 6, '國泰': 1}",{},{}
130,"{'國泰世華': 3, 'KOKO': 4}",{},{'國賓': 1}
131,"{'國泰世華': 8, '中信': 2, '玉山': 1}",{},{}
132,{},{},"{'保險': 2, '保費': 10}"
133,"{'兆豐': 6, '中國信託': 2, '台新': 1, '國泰世華': 1}",{},{}
134,"{'中信': 1, '國泰': 1, '台新': 1, '兆豐': 1}",{},{}
135,{},{},{}
136,{},{},{}
137,{},{},{}
138,{},{},"{'海外': 6, '機票': 2, '旅遊': 1}"
139,{},{},{}
140,{'玉山': 1},{},{}
141,{'台新': 2},{},{}
142,{},{},{}
143,{},{},{}
144,"{'兆豐': 4, '玉山': 4}",{'Only': 2},"{'國外': 2, '旅遊': 3, '機場': 3, '旅平險': 1, '出國': 1, '機票': 2}"
145,"{'中信': 2, '兆豐': 1, '國泰': 1, '中國信託': 1}",{},{}
146,{},{},{}
147,{},{},{}
148,{},{},{}
149,{},{},{'海外': 2}
150,{},{},"{'保險': 1, '旅遊': 2, '出國': 1}"
151,{'兆豐': 4},{},"{'旅遊': 3, '機場': 2, '海外': 2, '出國': 1, '機票': 1}"
152,{},{},{}
153,{},{},{}
154,{},{},{}
155,{},{},{}
156,{},{},{'機場': 5}
157,{},{},{}
158,{},{},{}
159,{},{},{}
160,{},{},"{'旅遊': 1, '機票': 2, '旅行': 5}"
161,{},{},{}
162,{},{},{}
163,{},{},{}
164,{'國泰': 2},{},"{'國外': 2, '旅遊': 2, '旅行': 1, '出國': 1}"
165,{},{},{'機場': 2}
166,{},{},{}
167,{'台新': 1},{},"{'出國': 1, '旅遊': 4, '旅行': 1, '機票': 3, '海外': 6, '飯店': 1}"
168,{},{},{'國外': 1}
169,"{'玉山': 13, '中信': 1, '國泰世華': 1}",{},{}
170,{},{},"{'中油': 2, '加油': 7}"
171,{'中國信託': 1},{},{}
172,{},{},{}
173,"{'兆豐': 7, '台新': 1}",{},"{'海外': 4, '旅遊': 6, '機場': 6, '出國': 2, '機票': 1}"
174,{},{},{'機票': 2}
175,{},{},{}
176,{'國泰世華': 1},{},{}
177,{},{},{}
178,{'兆豐': 9},{},"{'出國': 1, '海外': 1, '旅遊': 2, '機票': 4, '國外': 1}"
179,{},{},{}
180,{},{},{}
181,"{'國泰世華': 2, '台新': 3, '國泰': 4}",{},"{'出國': 2, '機票': 5, '旅遊': 3, '飯店': 2, '旅行': 1, '海外': 1, '機場': 1}"
182,{},{},{}
183,"{'玉山': 2, '台新': 1}",{},"{'國外': 6, '旅遊': 3, '海外': 1}"
184,{'兆豐': 5},{},"{'海外': 4, '旅遊': 3}"
185,"{'中信': 6, '玉山': 4, '國泰世華': 2, '台新': 2, '兆豐': 2}","{'Pi': 2, '大戶': 1}",{}
186,"{'中信': 2, '玉山': 2, '台新': 4, '兆豐': 2, '永豐': 1, '國泰': 1}",{'Pi': 1},{}
187,{},{},{}
188,{},{},{}
189,{},{},{}
190,{},{},{}
191,{},{},{}
192,{'中國信託': 1},{},"{'出國': 1, '海外': 3}"
193,{},{},"{'機票': 7, '機場': 1, '旅遊': 2}"
194,"{'中信': 2, '永豐': 4, '玉山': 8, '台新': 3}",{},"{'出國': 4, '海外': 1, '旅遊': 2, '旅行': 1}"
195,{},{},{}
196,"{'台新': 6, '中信': 6, '玉山': 4, '永豐': 4, '兆豐': 1}","{'Pi': 2, '大戶': 1}",{}
197,{'玉山': 8},{'Pi': 13},"{'出國': 1, '海外': 1}"
198,{'中信': 10},{},"{'海外': 4, '保險': 3}"
199,"{'中信': 2, '中國信託': 1, '國泰世華': 2, '玉山': 2, '台新': 2, '永豐': 1}",{},{}
200,{},{},{}
201,{},{},{}
202,{},{},{}
203,"{'台新': 6, '中國信託': 1}",{},"{'海外': 1, '旅遊': 1}"
204,{},{},{}
205,{},{},{}
206,{},{},{'國外': 1}
207,{},{},"{'旅遊': 1, '海外': 1}"
208,{},{},{}
209,{},{},{}
210,{},{},{}
211,{},{},{}
212,{},{},{}
213,{'台新': 3},{},{}
214,"{'國泰世華': 1, '台新': 1, '玉山': 1}",{},"{'保費': 4, '出國': 1, '機票': 1, '飯店': 1}"
215,{},{},"{'機場': 1, '國外': 2, '海外': 3}"
216,{},{},{}
217,"{'中信': 1, '永豐': 2, '國泰世華': 1, '兆豐': 1, '玉山': 1}",{},"{'旅行': 1, '海外': 3, '國外': 1, '機場': 1}"
218,{},{},"{'國外': 2, '機票': 1}"
219,{},{},"{'保費': 13, '保險': 1}"
220,{},{},"{'保費': 2, '保險': 4}"
221,{},{},{}
222,{},{},{}
223,{},{},{}
224,{},{},{'國外': 1}
225,"{'中信': 9, '國泰世華': 5, '玉山': 7, '台新': 5, 'Richart': 1}","{'Pi': 4, 'GOGO': 1}","{'海外': 3, '旅遊': 1}"
226,{'台新': 1},{},{}
227,"{'兆豐': 10, '玉山': 2, '國泰世華': 2}",{},"{'國外': 2, '機票': 3, '機場': 1, '旅行': 1}"
228,{},{},{}
229,{},{},{}
230,{'永豐': 1},{},"{'運動': 10, '保費': 6}"
231,{},{},"{'機票': 1, '海外': 1, '保險': 1}"
232,{},{},{'出國': 1}
