,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
155,32.0,114.0,60000.0,0.0,700000.0,1.0,2.0
156,,,210000.0,0.0,400000.0,1.0,2.0
157,20.0,16.0,20000.0,0.0,200000.0,1.0,1.0
158,,72.0,310000.0,0.0,,1.0,3.0
159,32.0,11.0,25000.0,0.0,360000.0,1.0,2.0
160,23.0,13.0,80000.0,0.0,3100000.0,1.0,2.0
161,22.0,9.0,125000.0,0.0,500000.0,1.0,2.0
162,26.0,42.0,45000.0,0.0,230000.0,1.0,2.0
163,,6.0,20000.0,0.0,,0.0,2.0
164,24.0,6.0,205000.0,1.0,500000.0,1.0,2.0
165,26.0,15.0,160000.0,0.0,500000.0,1.0,2.0
166,27.0,4.0,125000.0,0.0,470000.0,1.0,2.0
167,30.0,78.0,150000.0,0.0,600000.0,1.0,3.0
168,25.0,3.0,30000.0,0.0,400000.0,0.0,4.0
169,,6.0,60000.0,,450000.0,0.0,2.0
170,24.0,13.0,205000.0,0.0,600000.0,1.0,2.0
171,33.0,28.0,155000.0,1.0,540000.0,1.0,2.0
172,23.0,2.0,50000.0,0.0,320000.0,1.0,2.0
173,33.0,132.0,200000.0,2.0,600000.0,1.0,4.0
174,,108.0,245000.0,,570000.0,1.0,2.0
175,26.0,22.0,135000.0,0.0,550000.0,0.0,2.0
176,24.0,22.0,120000.0,1.0,450000.0,1.0,2.0
177,22.0,,20000.0,0.0,120000.0,1.0,2.0
178,,36.0,170000.0,3.0,600000.0,1.0,2.0
179,21.0,18.0,20000.0,0.0,800000.0,0.0,1.0
180,24.0,48.0,80000.0,1.0,,1.0,2.0
181,23.0,7.0,60000.0,3.0,300000.0,1.0,2.0
182,25.0,38.0,145000.0,0.0,340000.0,1.0,2.0
183,23.0,5.0,100000.0,0.0,300000.0,1.0,4.0
184,35.0,48.0,80000.0,,516000.0,0.0,2.0
185,37.0,3.0,400000.0,2.0,1000000.0,1.0,2.0
186,23.0,28.0,120000.0,1.0,450000.0,1.0,2.0
187,,10.0,250000.0,0.0,,1.0,3.0
188,,10.0,250000.0,0.0,,1.0,3.0
189,29.0,30.0,420000.0,0.0,5000000.0,1.0,2.0
190,,20.0,25000.0,0.0,,1.0,1.0
191,23.0,,25000.0,0.0,,1.0,2.0
192,,,20000.0,0.0,,0.0,1.0
193,22.0,6.0,115000.0,1.0,400000.0,0.0,2.0
194,31.0,36.0,180000.0,1.0,630000.0,1.0,2.0
195,32.0,60.0,200000.0,0.0,,1.0,2.0
196,28.0,6.0,95000.0,0.0,,0.0,2.0
197,26.0,24.0,230000.0,0.0,600000.0,1.0,2.0
198,24.0,6.0,250000.0,0.0,700000.0,0.0,2.0
199,27.0,10.0,140000.0,,500000.0,1.0,2.0
200,21.0,,20000.0,0.0,300000.0,1.0,1.0
201,30.0,16.0,270000.0,0.0,720000.0,1.0,3.0
202,,,450000.0,3.0,,1.0,2.0
203,30.0,24.0,230000.0,0.0,600000.0,1.0,2.0
204,21.0,36.0,20000.0,0.0,450000.0,1.0,1.0
205,24.0,4.0,95000.0,1.0,320000.0,1.0,2.0
206,23.0,5.0,50000.0,0.0,350000.0,1.0,2.0
207,,90.0,400000.0,0.0,2300000.0,1.0,2.0
208,22.0,48.0,20000.0,0.0,300000.0,1.0,2.0
209,26.0,1.0,400000.0,2.0,,1.0,2.0
210,30.0,,800000.0,2.0,,1.0,2.0
211,25.0,6.0,200000.0,0.0,800000.0,1.0,2.0
212,24.0,4.0,125000.0,1.0,700000.0,0.0,2.0
213,22.0,7.0,70000.0,0.0,600000.0,0.0,3.0
214,30.0,48.0,250000.0,0.0,700000.0,1.0,2.0
215,27.0,39.0,450000.0,,,0.0,2.0
216,35.0,108.0,600000.0,0.0,5000000.0,1.0,2.0
217,24.0,48.0,170000.0,1.0,480000.0,1.0,2.0
218,28.0,15.0,100000.0,0.0,400000.0,1.0,2.0
219,29.0,48.0,100000.0,0.0,1000000.0,0.0,2.0
220,28.0,30.0,180000.0,0.0,,1.0,2.0
221,30.0,36.0,180000.0,0.0,500000.0,1.0,2.0
222,22.0,,20000.0,0.0,600000.0,1.0,2.0
223,22.0,,20000.0,0.0,600000.0,1.0,2.0
224,,2.0,90000.0,0.0,300000.0,0.0,2.0
225,,96.0,430000.0,,600000.0,1.0,2.0
226,32.0,,150000.0,0.0,,0.0,4.0
227,24.0,1.0,240000.0,0.0,550000.0,0.0,2.0
228,26.0,2.0,250000.0,0.0,1000000.0,1.0,2.0
229,,24.0,50000.0,1.0,,0.0,2.0
230,24.0,13.0,100000.0,0.0,420000.0,1.0,2.0
231,32.0,108.0,480000.0,2.0,1200000.0,0.0,2.0
232,,36.0,275000.0,0.0,,1.0,2.0
233,35.0,12.0,120000.0,0.0,550000.0,1.0,2.0
234,25.0,36.0,60000.0,3.0,450000.0,1.0,1.0
235,38.0,24.0,450000.0,,1100000.0,1.0,2.0
236,27.0,6.0,335000.0,3.0,1200000.0,1.0,2.0
237,28.0,15.0,195000.0,0.0,480000.0,0.0,3.0
238,23.0,36.0,125000.0,,600000.0,1.0,2.0
239,25.0,30.0,200000.0,,500000.0,0.0,2.0
240,25.0,4.0,80000.0,1.0,700000.0,1.0,2.0
241,22.0,1.0,60000.0,0.0,400000.0,0.0,2.0
242,29.0,2.0,116000.0,0.0,400000.0,1.0,2.0
243,30.0,36.0,600000.0,2.0,,1.0,4.0
244,25.0,12.0,100000.0,0.0,550000.0,1.0,2.0
245,31.0,72.0,1000000.0,0.0,,0.0,2.0
246,,20.0,600000.0,0.0,,1.0,2.0
247,22.0,,20000.0,0.0,,1.0,1.0
248,27.0,,110000.0,0.0,750000.0,0.0,2.0
249,25.0,0.0,150000.0,0.0,,1.0,1.0
250,,24.0,150000.0,0.0,,0.0,2.0
251,,24.0,150000.0,0.0,,0.0,2.0
252,25.0,,125000.0,1.0,,1.0,2.0
253,,48.0,800000.0,2.0,1700000.0,1.0,2.0
254,28.0,30.0,150000.0,3.0,,0.0,2.0
255,38.0,192.0,600000.0,0.0,1520000.0,1.0,2.0
256,25.0,1.0,33000.0,0.0,300000.0,0.0,2.0
257,25.0,16.0,140000.0,0.0,400000.0,1.0,2.0
258,,6.0,155000.0,0.0,800000.0,1.0,2.0
259,30.0,48.0,400000.0,0.0,1600000.0,1.0,4.0
260,21.0,,20000.0,0.0,270000.0,1.0,1.0
261,25.0,5.0,100000.0,1.0,530000.0,1.0,2.0
262,31.0,10.0,210000.0,1.0,770000.0,1.0,2.0
263,27.0,34.0,255000.0,,600000.0,1.0,2.0
264,46.0,144.0,450000.0,0.0,1200000.0,0.0,2.0
265,35.0,8.0,20000.0,0.0,500000.0,1.0,3.0
266,27.0,,60000.0,1.0,410000.0,1.0,2.0
267,35.0,72.0,700000.0,0.0,,1.0,2.0
268,22.0,13.0,100000.0,0.0,300000.0,1.0,2.0
269,35.0,84.0,330000.0,0.0,,1.0,3.0
270,24.0,12.0,50000.0,0.0,450000.0,1.0,2.0
271,30.0,60.0,250000.0,0.0,1000000.0,1.0,2.0
272,26.0,21.0,80000.0,0.0,530000.0,1.0,3.0
273,,156.0,80000.0,0.0,,1.0,2.0
274,27.0,,80000.0,0.0,360000.0,1.0,2.0
275,24.0,5.0,60000.0,1.0,800000.0,1.0,2.0
276,31.0,27.0,120000.0,0.0,500000.0,1.0,2.0
277,26.0,24.0,50000.0,1.0,600000.0,1.0,2.0
278,27.0,22.0,80000.0,0.0,550000.0,1.0,2.0
279,30.0,,80000.0,0.0,360000.0,1.0,2.0
280,32.0,12.0,150000.0,0.0,600000.0,1.0,3.0
281,24.0,,1200000.0,,3000000.0,1.0,2.0
282,,72.0,350000.0,,5000000.0,0.0,2.0
283,28.0,6.0,50000.0,0.0,360000.0,0.0,2.0
284,,22.0,205000.0,0.0,600000.0,1.0,2.0
285,25.0,4.0,60000.0,0.0,530000.0,1.0,2.0
286,28.0,36.0,150000.0,0.0,450000.0,1.0,2.0
287,23.0,5.0,30000.0,0.0,300000.0,1.0,2.0
288,27.0,6.0,50000.0,3.0,350000.0,1.0,2.0
289,26.0,12.0,120000.0,0.0,800000.0,0.0,2.0
