,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
217,,,[],5000,3,,1,1
218,,,[],,,,0,2
219,20,16,['國泰'],40000,,400000,0,2
220,25,12,[],60000,0,500000,0,2
221,20,,"['永豐', 'dawho']",20000,1,200000,1,1
222,21,26,['星展'],,0,1200000,1,2
223,,,[],,,,0,2
224,,,[],,,,0,2
225,,,[],,,,0,2
226,,72,"['兆豐', 'e秒刷鈦金卡', '中信', 'LINEPay']",170000,0,600000,1,2
227,39,24,[],450000,3,1300000,0,2
228,24,12,"['台新', 'Flygo']",,0,300000,0,2
229,,3,"['Flygo', 'GoGo']",,0,600000,1,2
230,24,,"['台新', 'Flygo']",50000,0,,1,3
231,,,[],,,,0,2
232,28,36,"['台新', 'Flygo', '富邦']",,0,,0,2
233,,4,[],,0,,1,2
234,,,[],,,,0,2
235,,,['Flygo'],300000,,,1,2
236,,,[],150000,,,0,2
237,,,[],,,,0,2
238,26,,['台新'],100000,,1200000,1,4
239,25,0,[],,,300000,1,2
240,,,[],,,,0,2
241,23,12,[],,0,300000,1,2
242,25,3,"['台新', 'GoGo', '國泰', 'KOKO', '中信', 'LINEPay']",,,480000,0,3
243,,,[],,,,0,2
244,,,[],,,,0,2
245,,12,['Richart'],,0,,1,2
246,,,[],,,,0,2
247,,,[],,,,0,2
248,,,[],,,,0,2
249,,,[],,,,0,2
250,,,[],,,,0,2
251,,,[],,,,0,2
252,,,[],,,,0,2
253,,,[],,,,0,2
254,,,[],,,,0,2
255,23,2,['KOKO'],60000,0,500000,1,2
256,32,60,"['台新', 'GoGo', 'KOKO']",,3,1000000,1,2
257,25,24,[],,0,400000,1,2
258,,156,[],,0,,0,2
259,,,[],,,,0,2
260,23,3,"['國泰', 'KOKO']",,1,400000,1,2
261,,1,[],,0,,0,3
262,22,24,['KOKO'],530000,0,,0,2
263,,,[],,,,0,2
264,24,24,"['國泰', 'KOKO']",140000,0,500000,1,2
265,20,,[],20000,0,300000,0,1
266,24,,['KOKO'],,0,360000,0,2
267,27,,[],,0,700000,1,2
268,31,7,"['國泰', 'KOKO']",110000,1,760000,0,2
269,,,[],,,,0,2
270,35,5,[],,0,340000,1,2
271,22,,"['國泰', 'KOKO']",,1,500000,1,1
272,,,[],1000,,,0,2
273,30,60,['KOKO'],80000,0,,1,2
274,28,24,"['國泰', 'KOKO']",160000,0,700000,1,4
275,24,12,"['國泰', 'KOKO']",60000,0,300000,0,2
276,22,,['KOKO'],20000,0,,0,1
277,,0,['KOKO'],60000,1,,0,2
278,,,[],,,,0,2
279,22,9,['KOKO'],200000,0,,0,2
280,26,,"['國泰', 'KOKO']",60000,0,600000,1,2
281,37,156,['KOKO'],,0,800000,0,3
282,30,0,"['KOKO', '中信', '現金回饋御璽卡']",,1,800000,1,3
283,23,9,"['國泰', 'KOKO']",50000,,300000,1,2
284,23,9,[],110000,1,400000,1,2
285,23,0,"['國泰', 'KOKO']",50000,,30,1,2
286,33,130,"['國泰', 'KOKO', '渣打', '現金回饋御璽卡']",160000,3,650000,1,3
287,26,3,[],,0,500000,0,3
288,29,8,"['國泰', 'KOKO']",80000,0,600000,1,4
289,,,[],,,,0,2
290,30,7,"['KOKO', '華南', '元大', '鑽金']",80000,0,340000,1,2
291,,,[],,,,0,2
292,,,[],,,,0,2
293,,,[],,,,0,2
294,,,[],,,,0,2
295,26,12,"['KOKO', 'GoGo']",,0,700000,1,4
296,30,5,"['台新', 'GoGo', '國泰', 'KOKO']",150000,1,750000,1,3
297,,72,[],,0,1000000,1,2
298,27,27,"['中信', 'LINEPay']",200000,0,520000,0,2
299,,,[],,,,0,2
300,,,[],,,,0,2
301,25,24,"['中信', 'LINEPay']",360000,0,400000,0,2
302,,,[],,,,0,2
303,28,4,"['台新', 'GoGo', '中信', 'LINEPay', '渣打']",100000,0,,0,2
304,,,[],,,,0,2
305,,,[],,,,0,2
306,,,[],,,,0,2
307,,,[],,,,0,2
308,32,84,"['中信', 'LINEPay']",500000,3,,0,2
309,,60,"['中信', 'LINEPay']",315000,0,600000,0,2
310,33,120,[],,0,,0,3
311,,,[],40000,,,0,2
312,,,[],,,,0,2
313,26,60,[],,0,550000,0,2
314,,,[],,,,0,2
315,,,[],150000,3,,1,2
316,,,[],,,,0,2
317,29,,"['中信', 'LINEPay']",,0,,1,2
318,,,[],,,,0,2
319,,,[],,,,0,2
320,,,[],,,,0,2
321,,,[],,,,0,2
322,,,[],,,,0,2
323,,,[],,,,0,2
324,,,[],,,,0,2
325,25,12,[],100000,0,550000,0,2
326,,,[],,,,0,2
327,30,,['花旗'],,3,,1,2
328,,,[],,,,0,2
