,age,card_apply,career,cred_l,h_card,sal,serv_t
305,23,[],2,,1,,
306,27,[],2,60000,1,,
307,21,"['花旗', '饗樂']",2,20000,1,,12
308,23,"['星展', '炫晶御璽卡']",2,,1,,3
309,20,[],2,20000,1,150000,
31,23,[],2,30000,1,200000,
310,23,['國泰'],2,107000,1,,2
311,22,['花旗'],2,100000,1,,7
312,,"['星展', '炫晶御璽卡']",2,20000,1,110000,
313,20,[],1,20000,1,,
314,22,[],1,20000,1,230000,10
315,,[],2,300005,1,,
316,21,['永豐'],1,,1,0,36
317,,"['花旗', '饗樂']",2,,1,,
318,,[],2,,1,,
319,22,"['台新', 'Richart', 'Richart']",2,,1,140000,
32,20,[],2,20000,1,,
320,22,"['玉山', 'Pi']",2,,1,400000,
321,24,"['國泰', 'KOKO', '台新', 'Flygo', '永豐', 'dawho']",2,50000,1,420000,13
322,,"['兆豐', 'e秒刷鈦金卡']",2,50000,1,220000,
323,24,"['台新', 'GoGo']",2,70000,1,400000,11
324,23,"['台新', 'GoGo']",1,,1,500000,
325,20,"['台新', 'GoGo']",2,,1,,
326,22,"['台新', 'GoGo']",2,20000,1,150000,14
327,,[],2,80000,1,,12
328,,['台新'],1,,1,,11
329,,[],2,400000,1,600000,
33,23,"['台新', 'GoGo']",2,500000,1,500000,4
330,,"['玉山', 'Pi']",2,,1,400000,2
331,,[],2,,1,,
34,21,[],2,330000,1,330000,
35,,[],2,80000,1,,
36,23,"['台新', 'GoGo']",2,,1,350000,34
37,,"['星展', '炫晶御璽卡']",2,,1,150000,12
38,21,"['渣打', '現金回饋御璽卡']",2,20000,1,100000,10
39,22,"['玉山', 'Pi']",1,50000,1,270000,20
4,,[],1,,1,,
40,,[],2,,1,,
41,22,"['台新', 'GoGo']",1,,1,,
42,24,[],4,50000,1,480000,24
43,,"['台新', 'GoGo']",2,80000,0,,
44,24,[],1,,0,,
45,23,"['台新', 'GoGo', '花旗']",2,,1,500000,12
46,,"['玉山', 'Pi']",2,2017,1,,4
47,,"['台新', 'Flygo']",2,,1,400000,32
48,30,[],1,300000,1,450000,12
49,25,[],2,100000,1,700000,
5,23,['玉山'],3,,1,600000,24
50,,[],2,30000,1,,
51,,[],1,,1,180000,
52,20,[],2,20000,1,300000,
53,22,[],1,60000,1,,24
54,24,"['玉山', '花旗', '國泰', '星展', '兆豐', '一銀', '兆豐', '玉山', '星展', '玉山', '玉山', '玉山', '玉山']",2,,1,,
55,23,[],2,60000,1,400000,
56,21,[],2,,1,380000,
57,,['GoGo'],2,,1,450000,24
58,,[],2,60000,1,600000,3
59,,[],2,,1,180000,
6,22,[],2,60000,1,360000,
60,22,"['台新', 'GoGo']",2,100000,1,350000,9
61,24,[],2,80000,1,700000,
62,20,[],2,20000,1,,
63,,"['台新', 'GoGo', 'Flygo', 'GoGo', 'Flygo']",2,,1,,
64,,['玉山'],2,50000,1,330000,
65,21,['玉山'],2,20000,1,,
66,23,"['台新', 'GoGo']",2,100000,1,550000,32
67,23,[],2,,0,360000,8
68,,[],2,,1,,8
69,20,[],1,,1,240000,3
7,,[],2,30000,1,,
70,,[],2,50000,1,,10
71,,[],1,,1,,24
72,20,[],2,,1,,
73,,[],2,50000,1,,1
74,24,[],2,247000,1,,
75,24,"['兆豐', 'e秒刷鈦金卡']",2,,1,400000,38
76,21,"['e秒刷鈦金卡', 'KOKO', '玉山']",2,20000,1,120000,17
77,,"['台新', 'GoGo']",2,,0,180000,10
78,25,['國泰'],2,,1,,6
79,21,"['國泰', 'KOKO']",2,,1,,
8,,"['玉山', 'Pi']",2,100000,1,400000,9
