rec_no,vs1,vs2,vq1,vq2,vq3_1,vq3_2,vq3_3,vq3_4,vq3_5,vq3_6,vq3_7,vq3_8,vq3a,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4a,vq5,vq5a,vq6_1,vq6_2,vq6_3,vq6_4,vq6_5,vq6_6,vq6_7,vq6_8,vq6a,vq7,vq7a,vq8,vq9_1,vq9_2,vq9_3,vq9_4,vq9_5,vq9_6,vq9_7,vq9_8,vq9a,vq10,vq11,vq12_1,vq12_2,vq12_3,vq12_4,vq12_5,vq12_6,vq12_7,vq12a,vq13_1,vq13_2,vq13_3,vq13_4,vq13_5,vq13_6,vq13_7,vq13_8,vq13a,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq14_7,vq14_8,vq14a,vq15,vq16,vq16a,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17a,vq18_1,vq18_2,vq18_3,vq18_4,vq18_5,vq18_6,vq18_7,vq18_8,vq19,vq20,vq21,vq22,vq22a,vq23,vq23a,vq24,vq24a,vq25,vq25a,vq26_1,vq26_2,vq27,vq28,vq29,vq30_1,vq30_2,vq30_3,vq30_4,vq30_5,vq30_6,vq30a,vq31,vq31a,vq32,vq32a,vq33,vq33a,vq34,vq34a,vq35,vq35a,vq36,vq36a,vq37,vq38_1,vq38_2,vq38_3,vq38_4,vq38_5,vq38_6,vq38_7,vq38_8,vq38a,vq39_1,vq39_2,vq39_3,vq39_4,vq39_5,vq39_6,vq39_7,vq39_8,vq39a,vq40,vq40a,vq41_1,vq41_2,vq41_3,vq41_4,vq41_5,vq41a,vq42,vq42a,vq43_1,vq43_2,vq43_3,vq43_4,vq43_5,vq43_6,vq43a,vq44_1,vq44_2,vq44_3,vq44_4,vq44_5,vq44_6,vq44a,vq45_1,vq45_2,vq45_3,vq45_4,vq45a,vq46_1,vq46_2,vq46_3,vq46_4,vq46a,vq47_1,vq47_2,vq47_3,vq47_4,vq47a,vq48_1,vq48_2,vq48_3,vq48a,vq49,vq50,vq51_1,vq51_2,vq51_3,vq51_4,vq51_5,vq51_6,vq51_7,vq51_8,vq51a,vq52_1,vq52_2,vq52_3,vq52_4,vq52_5,vq52_6,vq52_7,vq52_8,vq52a,vq53,vq54_1,vq54_2,vq54_3,vq54_4,vq54_5,vq54_6,vq54_7,vq54_8,vq54a,vq55_1,vq55_2,vq55_3,vq55_4,vq55_5,vq55_6,vq55_7,vq55_8,vq55a,vq56,vq57,vq57a,vq58,vq58a,vq59,vq60_1,vq60_2,vq60_3,vq60_4,vq60_5,vq60_6,vq60_7,vq60_8,vq61,vq61a,vq62,vq62a,vq63,vq63a,vq64,vq64a,vq65,vq66,vq67,vq68,vq69,vq70,vq71,vq72,vq73,vq74,vq75,vq76,vq77,vq78,vq79,vq80,vq81,vq82,vq83,vq84,vq85,vq86,vq87,vq88,vq89,vq90,vs3,vs4,vs6,vs7,vs7a,vs8,vs9,vs10,vs11,vs12_1,vs12_2,vs12_3,vs12_4,vs12_5,vs12_6,vs12_7,vs12_8,vs12a,vs12b,vs12c,vs12d,vs12e,vs12f,vs12g,vs12h,vs12i,vs12j,vs12k,vs12l,vs12m,vs12n,vs12z,vs12za,varea,age,area,sex,marriage,edu,income,live,job,w3
1107,13,13,91,2,6,1,3, , , , , , ,1,6, , , , , , , ,6, ,1,6, , , , , , , ,6, ,1,3,5, , , , , , , ,42,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,25,19,1,2,16,8,7,17,2,1,6,90, ,1, ,1301, ,4, ,3, , , , ,1, , , , , , ,1, ,1, , , , , , , , , ,1,1, , , , , , , , ,3, , , , , , , , ,2, ,1, , , , , ,2, ,3, , , , , , ,3, , , , , , ,90, , , , , , , , , ,3, , , , ,1, , , ,1,1,7,6,3,4, , , , , ,4,6, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,12, , , , , , ,12, ,7, ,1, ,8, ,2,3,3,3,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,96,4,21, , ,4,0,4,4,6,8, , , , , , , , ,4, ,2, ,1, , , , , , , , ,4004,1,400,2,1,4, ,96,21,.699037973506408
3361,11,11,51,1,6,1,3, , , , , , ,1,6, , , , , , , ,6, ,90, , , , , , , , ,90, ,1,6,9,8, , , , , , ,6,2, , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,3,19,24,6,8, , , ,6,6,6,1, ,1, ,901, ,1, ,1, ,2,239, ,3, , , , , , ,3, , , , , ,2, , , , , ,1,1,5,9, , , , , , ,2, , , , , , , , ,1, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1, ,1, ,96, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,5,19, ,98,4,0,4,8,6,4, , , , , , , , ,4, ,1, ,3, , , , , , , , ,3006,5,300,1,2,5,96,1,19,.352404832035411
428,1,1,89,1,6,3,2,4, , , , , ,2,3,4,6, , , , , ,6, ,6,3,4, , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,96, , , , , , , ,6,6,6,1, ,1, ,9996, ,1, ,3, , , , ,1,3,4, , , , ,1, ,4, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,96, ,96, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,2,1, , , , , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,6,12, , , , , ,6, ,6, ,1, ,12, ,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,1,96,5,21, , ,4,0,4,10,4,8,7,1,9,11, ,1, , ,3, , ,2,1,2,1,1, , , , , ,1008,1,100,1,1,5, ,96,21,1.0242046096512
1410,16,16,70,1,6,1,3, , , , , , ,1,3,6, , , , , , ,6, ,6, , , , , , , , ,6, ,1,6,4, , , , , , , ,2,2, , , , , , , , ,4, , , , , , , , ,96, , , , , , , , , , , , , , , , , ,5,13,1,6,7, , , ,6,1,5,90, ,5, ,1901, ,3, ,2, ,2, ,1200,1,3, , , , , ,1, ,1, , , , , , , , , ,1,1,2,5,10, , , , , ,1,3, , , , , , , ,1, ,2, , , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,7,4,1,3, , , , , ,1, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1,8, , , , , , ,1, ,1, ,3, ,4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,7,23, , ,5,3,4,8,6,4, , , , , , , , ,4, ,1, ,1, , , , , , , , ,6001,3,600,1,5,7, ,2,23,.993728207076871
817,2,18,82,2,3,4,6,1, , , , , ,1,4,6, , , , , , ,4, ,4,6, , , , , , , ,4, ,2, , , , , , , , , , , , , , , , , , , ,3,4, , , , , , , ,4, , , , , , , , , , , , , , , , , ,3,6,22,7,13,21,24,8,3,1,5,1, ,1, ,209, ,1, ,1, ,96,999996, ,1,4, , , , , ,4, , , , , , , ,1, , , ,1,1,3,5,6,8, , , , ,2,3, , , , , , , ,2, ,90, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,2,25,26,8,14,7, , , , ,7,14, , , , , , , ,1,14, , , , , , , , ,5, , , , , , , , ,136,1, , , ,2,1,3,7,8, , , , ,8, ,1, ,3, ,4, ,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,7,13, ,4,4,0,4,4,6,9,8, , , , , , , ,4, ,1, ,1,2, , , , , , , ,1009,1,100,2,1,7,4,2,13,2.43412049578441
3405,3,3,59,2,6,3,1, , , , , , ,1,3,6, , , , , , ,1, ,3,6, , , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , ,1,4, , , , , , , ,1,4, , , , , , , , , , , , , , , , ,6,1,10,8, , , , ,4,1,4,1, ,1, ,403, ,2, ,3, , , , ,1,3, , , , , ,1, ,1, , , , , , , , , ,1,1,2,6, , , , , , ,1,3,4, , , , , , ,2, ,90, , , , , ,1, ,2,3, , , , , ,90, , , , , , ,1,2, , , ,90, , , , , , , , , ,1, , , ,1,1,5,7,6,2, , , , , ,2,5,6,7, , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,8,10, , , , ,8, ,1, ,10, ,8, ,2,2,2,2,2,3,2,2,2,1,2,2,3,2,96,96,96,96,96,2,2,96,2,96,2,96,2,1,5,20, , ,5,1,4,4,6,8, , , , , , , , ,4, ,2, ,2, , , , , , , , ,2001,4,200,2,2,5, ,1,20,1.39116276872542
5209,4,4,55,2,3,6,1, , , , , , ,1,3,6, , , , , , ,1, ,6,1, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,8,2,22,7,18,13,6, ,6,1,6,1, ,1, ,801, ,1, ,3, , , , ,1,3, , , , , ,1, ,3, , , , , , , , , ,1,1, , , , , , , , ,3,8, , , , , , , ,3, ,1, , , , , ,1, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,8,10, , , , , ,1, ,1, ,3, ,2, ,1,1,1,1,1,1,1,1,1,2,2,1,1,96,96,2,3,96,96,96,2,96,96,96,2,96,1,2,6,94,印刷,3,4,0,4,8,6,4,1, , , , ,5, , ,3, ,3, ,2, , , , , , , , ,3003,4,300,2,1,6,3,2,94,1.63908162371041
1703,2,2,79,1,4,6,3,7,10,1, , , ,1,3,4,6,7, , , , ,4, ,7,4,6,3,1, , , , ,1, ,1,9,1,3,6, , , , , ,7,2, , , , , , , , ,1,4,6,7, , , , , ,1,4,6,7, , , , , , , , , , , , , , ,25,8,9,13,1,2,6,26,3,1,2,1, ,5, ,207, ,5, ,1, ,96,999996, ,1,3,4, , , , ,3, , , , , ,3, , , , , ,1,1,2,5,6,10, , , , ,1,2,7, , , , , , ,1, ,90, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,3,1,7, , , , , , ,1,7, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1,3,4,6,8,10, , ,1, ,1, ,3, ,6, ,1,1,1,1,1,1,2,1,2,3,3,2,2,2,96,2,2,96,2,96,2,96,2,2,2,2,1,1,7,14, ,3,2,0,1,3,6,8,1,4,9, , ,2, ,3,3, ,2, ,2,1, , , , , , , ,1003,2,100,1,1,7,3,1,14,.634695156864531
5213,4,4,39,1,1,3,6, , , , , , ,1,6, , , , , , , ,6, ,1,6, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,14,2,6,8,13,7, , ,6,6,6,1, ,96, ,801, ,5, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,5,6,7, , , , , , ,3, , , , , , , , ,1, ,1, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,2,8,10,12, , , ,1, ,1, ,2, ,96, ,1,1,1,1,1,1,1,1,1,96,96,1,1,2,3,96,96,96,3,3,3,96,3,3,3,96,2,2,3,94,保全,4,3,0,4,8,6,1,4, , , , ,2, , ,3, ,3, ,1, , , , , , , , ,3003,6,300,1,2,1,4,2,94,2.10219516573127
5217,3,3,44,1,5,6,1,8,4, , , , ,1,5, , , , , , , ,1, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , ,8,6,10, , , , , ,6,6,4,1, ,6, ,402, ,90, ,2, ,1, ,999996,2, , , , , , ,2, , , ,4, , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , ,1, ,96, ,96, ,96, ,1,1,1,1,1,1,1,1,1,1,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,2,1,4,22, , ,4,0,4,4,6,12,5,9,1,11, ,2, , ,3,1,2, , ,2, ,1,2, , , , ,3003,5,200,1,2,4, ,1,22,1.37376198774847
1701,1,3,84,2,1,5,6,3,4, , , , ,1,3,4,5,6, , , , ,6, ,6,1, , , , , , , ,6, ,1,7,8,9, , , , , , ,8,2, , , , , , , , ,4, , , , , , , , ,90, , , , , , , , , , , , , , , , , ,25,6,3,8,1,5,27,17,3,3,3,1, ,96, ,9996, ,3, ,1, ,96,999996, ,1,4, , , , , ,1, ,5, , , , , , , , , ,1,1,2,11, , , , , , ,3,5,8,9, , , , , ,2, ,90, , , , , ,3, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,2, , , ,1,1,1,5,7,18,6,3, , , ,1,3, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,8,10, , , , , ,8, ,1, ,6, ,3, ,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,3,3,2,3,1,2,7,21, , ,3,0,4,3,6,5,9,4,8,1, ,1, ,96,3,2,1, ,1,1, , , , , , , ,1003,1,200,2,1,7, ,2,21,1.03106302631511
1505,1,1,88,1,4,6,1,3,5, , , , ,1,3,6, , , , , , ,6, ,6,1, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,7,2,6,8,1,13, , ,1,1,1,1, ,1, ,9995, ,1, ,1, ,1,999996, ,1,3, , , , , ,1, ,4, , , , , , , , , ,1,98, , , , , , , , , , , , , , , , , ,2, ,1, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,5,7,1, , , , , , ,1,5,7, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1,3,6, , , , , ,1, ,96, ,96, ,96, ,1,1,1,1,1,1,1,1,1,96,96,96,96,2,2,3,3,96,96,96,96,96,4,4,96,96,1,2,5,23, , ,5,0,2,8,6,5,4,9,1,3, ,1, ,1,3,1,1, ,1,1, , , , , , , ,6002,1,100,1,1,5, ,2,23,1.0242046096512
161,2,2,83,1,6,4, , , , , , , ,4,6, , , , , , , ,6, ,5,6, , , , , , , ,6, ,1,6, , , , , , , , ,6,2, , , , , , , , ,1,7, , , , , , , ,1, , , , , , , , , , , , , , , , , ,2,6,1, , , , , ,1,1,1,1, ,1, ,9995, ,1, ,1, ,96,999996, ,1,2, , , , , ,1, ,1, , , , , , , , , ,1,1,2, , , , , , , ,2,3, , , , , , , ,1, ,1, , , , , ,2, ,1, , , , , , ,1, , , , , , ,2, , , , ,2, , , , , , , , , ,2, , , ,1,1,3,1,16,26,7,5, , , ,1,3,5,7,26, , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,8, , , , , , ,8, ,9, ,1, ,8, ,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,3,2,3,1,1,1,2,7,21, , ,3,0,98,1,6,4, , , , , ,1, , ,3, ,1, , , , , , , , , , ,1005,1,100,1,1,7, ,2,21,.629276156963975
505,1,1,89,2,5,6,1,3, , , , , ,1,3,6, , , , , , ,6, ,1,6, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,20,13,6,1,14, , ,4,3,1,1, ,96, ,9996, ,2, ,3, , , , ,1,2,3, , , , ,1, ,3, , , , , , , , , ,1,1,4,5, , , , , , ,3, , , , , , , , ,1, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,3,6,8, , , , ,8, ,96, ,96, ,96, ,2,2,2,2,2,2,2,2,2,3,3,3,4,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,5,21, , ,3,0,4,4,6,1,8, , , , ,1, , ,3, ,2, ,2, , , , , , , , ,1008,1,100,2,1,5, ,1,21,1.12016243482116
1101,20,20,57,2,3,1,4,6, , , , , ,1,3,4,6, , , , , ,6, ,6,1, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,6,8,2,13, , , , ,5,5,6,1, ,1, ,1201, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,2,6,7,11, , , , , ,2, , , , , , , , ,2, ,90, , , , , ,1, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1,6, , , , , , ,1, ,1, ,6, ,7, ,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,2,2,2,1,2,2,2,2,3,2,1,5,20, , ,3,0,4,8,6,4,9,1, , , ,1, , ,3, ,1, ,1,1, , , , , , , ,4004,4,400,2,2,5, ,1,20,.722014781829643
1104,13,13,73,1,3,6,1, , , , , , ,1,3,6, , , , , , ,6, ,6,1, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,1,4, , , , , , , ,1, , , , , , , , , , , , , , , , , ,13,1,6,8,2, , , ,6,2,6,1, ,90, ,1301, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,1,5,10, , , , , , ,3, , , , , , , , ,2, ,90, , , , , ,96, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,90, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , ,1,8,10, , , , , ,1, ,1, ,8, ,10, ,1,1,1,1,1,1,1,1,96,1,2,1,96,1,2,2,96,2,2,96,96,96,2,2,2,96,1,1,5,1, ,4,3,0,4,8,6,4,1, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,4004,2,400,1,1,5,4,1,1,.644659515960927
1113,13,13,83,1,3,6,1, , , , , , ,1,6, , , , , , , ,6, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,2,8,6,10,13,1, , ,5,1,5,1, ,1, ,1301, ,2, ,3, , , , ,1, , , , , , ,1, ,1, , , , , , , , , ,1,1,5, , , , , , , ,3, , , , , , , , ,1, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,18, , , , , , , , ,18, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,8, , , , , , ,1, ,1, ,8, ,6, ,1,2,1,3,2,2,2,2,2,1,3,2,3,1,2,2,3,2,3,3,2,2,3,3,2,3,1,1,5,23, , ,5,0,4,1,6,4,8, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,4004,1,400,1,1,5, ,1,23,.639155440791766
1506,15,2,75,1,6,1, , , , , , , ,1,6, , , , , , , ,6, ,6,1, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,26,2,13,8,4,3,23,6,6,6,1, ,1, ,9995, ,3, ,1, ,96,999996, ,1, , , , , , ,1, ,3, , , , , , , , , ,1,10, , , , , , , , ,3, , , , , , , , ,3, ,90, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,1,7,12,19,9, , , , ,12, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,7, , , , , ,3, ,1, ,3, ,6, ,1,1,1,1,1,1,1,1,1,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,3,3,1,2,5,7, ,4,4,1,4,4,6,1, , , , , ,1, , ,3, ,2, , , , , , , , , , ,6002,2,100,1,1,5,4,2,7,.634695156864531
3251,7,7,41,1,6,1, , , , , , , ,1, , , , , , , , ,1, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6, , , , , , ,6,6,2,1, ,90, ,1801, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,2,27, , , , , , , , ,27, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , , , ,3, ,6, ,1, ,2, ,2,3,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,1,4,22, , ,4,0,4,4,6,1, , , , , ,1, , ,3, ,2, , , , , , , , , , ,1002,6,600,1,2,4, ,1,22,.649082854058054
5402,12,12,79,1,10,6,1,3, , , , , ,1,3,6,10, , , , , ,3, ,3,6,1, , , , , , ,3, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,16,8,20,2,1,6,25, ,1,1,1,1, ,1, ,1101, ,1, ,1, ,1,1500, ,1,3, , , , , ,1, ,4, , , , , , , , , ,1,5,10, , , , , , , ,4, , , , , , , , ,2, ,90, , , , , ,1, ,1,2,3, , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,7,1,11,14, , , , , ,1,7,11,14, , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,6,7,8, , , , ,1, ,1, ,6, ,3, ,1,1,1,1,1,1,1,1,1,3,3,1,1,2,96,96,96,96,2,2,2,2,3,96,2,2,1,1,5,3, ,5,4,0,2,8,6,4,1, , , , ,1, , ,3, ,2, ,2, , , , , , , , ,4003,2,400,1,1,5,5,1,3,.948949354449828
5610,11,11,53,2,3,1,6, , , , , , ,1,3,6, , , , , , ,1, ,1, , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,8,25,3, , , ,5,5,5,1, ,1, ,9995, ,1, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, ,1, , , , , ,96, ,90, , , , , , , , , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,8,12,13, , , , ,1, ,1, ,8, ,12, ,3,3,96,96,96,3,3,3,3,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,1,1,5,19, ,98,4,1,4,8,6,4,1, , , , ,1, , ,3, ,1, ,1, , , , , , , , ,3007,4,300,2,1,5,96,1,19,.356868574191735
5762,14,6,70,2,1,4,6,5, , , , , ,1,4,6, , , , , , ,6, ,1, , , , , , , , ,1, ,96, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,6,3,12,1,8,2,20,13,3,2,1,1, ,1, ,9995, ,1, ,2, ,96, ,1000,1,4, , , , , ,1, ,3, , , , , , , , , ,1,1,6,11, , , , , , ,1,2,3, , , , , , ,2, ,1, , , , , ,3, ,3,4, , , , , ,3, , , , , , ,90, , , , , , , , , ,96, , , , ,2, , , ,1,1,27,11,26,23,25, , , , ,25,27, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1,3,6,8,10, , , ,1, ,3, ,1, ,6, ,1,2,1,2,2,2,1,3,3,1,3,3,3,3,2,2,4,2,2,2,3,3,2,2,3,4,1,2,8,16, ,5,2,0,4,1,6,4,9, , , , ,1, , ,3, ,2, , ,3, , , , , , , ,5006,3,500,2,1,8,5,2,16,1.15714189840743
111,2,2,85,1,3,4,1,6, , , , , ,1,3,4,6, , , , , ,6, ,1,6, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,25,20,24,13,8,2,21,1,1,1,90, ,90, ,210, ,2, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,1,1,2,3,5,7,8,10,11, ,1,3,4,5, , , , , ,2, ,1, , , , , ,1, ,3, , , , , , ,3, , , , , , ,2, , , , ,2, , , , ,1, , , , ,1, , , ,1,1,11, , , , , , , , ,11, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,94,無信用卡, ,1,3,4,6,8,9, , ,1, ,9, ,3, ,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,3,3,4,2,3,4,3,3,1,1,6,21, , ,3,0,4,4,6,9,3,8, , , , , ,2,3, ,2, ,1,1, , , , , , , ,1001,1,100,1,1,6, ,1,21,.629276156963975
1108,20,20,91,1,1,6, , , , , , , ,1,6, , , , , , , ,6, ,6,1, , , , , , , ,6, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,17,6,1,13,8, , , ,1,1,2,90, ,90, ,9995, ,2, ,3, , , , ,1, , , , , , ,1, ,4, , , , , , , , , ,1,5, , , , , , , , ,4, , , , , , , , ,2, ,1, , , , , ,3, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,7,1, , , , , , , ,1,7, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , ,1, ,1, ,11, ,3, ,2,2,2,2,2,1,1,1,2,96,96,2,1,2,96,2,2,2,2,2,96,2,96,96,2,96,1,1,4,21, , ,3,1,4,4,6, , , , , , , , , ,3, ,1, , , , , , , , , , ,4004,1,400,1,1,4, ,1,21,.48928181864632
2909,11,11,59,2,6, , , , , , , , ,6, , , , , , , , ,6, ,6,1, , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , ,4, , , , , , , , ,4, , , , , , , , , , , , , , , , , ,6,7,2, , , , , ,6,6,1,90, ,90, ,901, ,1, ,3, , , , ,1, , , , , , ,1, ,3, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,1, ,90, , , , , ,96, ,3, , , , , , ,90, , , , , , ,90, , , , , , , , , , , , , , ,1, , , ,1,1,1,6,3, , , , , , ,1,3,6, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,7, , ,1,10, , , , , , ,10, ,96, ,96, ,96, ,2,2,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,5,19, ,98,5,1,2,4,6, , , , , , , , , ,3, ,3, , , , , , , , , , ,3005,4,300,2,5,5,96,1,19,.356868574191735
